Month,Fuel Oil Consumption(Predicted),Cooling Degree Days U.S. Average,Heating Degree Days U.S. Average ,Fuel Oil Consumption(Actual)
8,0.1595374727,0.9925187032,0.0049875312,0.11
9,0.195370682,0.8104738155,0.0149625935,0.13
10,0.2062372015,0.4264339152,0.144638404,0.22
11,0.3275195149,0.1296758105,0.6458852868,0.39
12,0.5153648126,0.0274314214,1.3391521197,0.48
1,0.5008829048,0.0199501247,1.7356608479,0.66
2,0.708407629,0.029925187,2.0573566085,0.61
3,0.4744823703,0.0199501247,1.8204488778,0.44
4,0.2578493394,0.0199501247,1.63840399,0.27
5,0.1455004127,0.0773067332,0.8603491272,0.14
6,0.0915555476,0.2418952618,0.3316708229,0.1
7,0.1400322323,0.6034912718,0.0573566085,0.1
8,0.1712644422,0.8354114713,0.0049875312,0.11
9,0.1832623618,0.710723192,0.0224438903,0.15
10,0.233793173,0.433915212,0.1396508728,0.24
11,0.3367808823,0.1321695761,0.6334164589,0.39
12,0.4905694051,0.0374064838,1.4189526185,0.58
1,0.6734245862,0.0249376559,2.0598503741,0.74
2,0.768447416,0.0099750623,2.4114713217,0.67
3,0.4967272973,0.0224438903,1.9850374065,0.51
4,0.3062132788,0.029925187,1.6957605985,0.25
5,0.030437244,0.0847880299,0.8029925187,0.13
6,0.0825631313,0.2743142145,0.3092269327,0.1
7,0.1422689024,0.5985037406,0.0623441397,0.11
8,0.1828722166,0.7431421446,0.0174563591,0.12
9,0.1868199034,0.7206982544,0.0249376559,0.19
10,0.2885999121,0.4488778055,0.1371571072,0.26
11,0.336549536,0.1770573566,0.5436408978,0.44
12,0.5621475111,0.0199501247,1.5236907731,0.57
1,0.6090027404,0.0174563591,1.753117207,0.71
2,0.7269456304,0.0149625935,2.2119700748,0.83
3,0.8117227768,0.0099750623,2.1546134663,0.49
4,0.1369220855,0.0648379052,1.4488778055,0.27
5,0.1128991665,0.1246882793,0.7406483791,0.15
6,0.1126386728,0.3067331671,0.289276808,0.1
7,0.1329312497,0.6284289277,0.0523690773,0.1
8,0.1708045063,0.8304239402,0.0074812968,0.12
9,0.1979683744,0.7780548628,0.0199501247,0.18
10,0.2703935485,0.5486284289,0.072319202,0.29
11,0.3870136347,0.1845386534,0.5586034913,0.35
12,0.3881750812,0.0673316708,1.102244389,0.45
1,0.4945132597,0.0573566085,1.4413965087,0.63
2,0.6903209994,0.0124688279,2.1645885287,0.62
3,0.5266635025,0.0199501247,1.5586034913,0.38
4,0.1701143949,0.0798004988,1.114713217,0.26
5,0.1928885019,0.0997506234,0.7630922693,0.16
6,0.1396878287,0.2344139651,0.3690773067,0.1
7,0.1286733106,0.6683291771,0.0448877805,0.08
8,0.144019343,0.9476309227,0.0074812968,0.11
9,0.2020386226,0.8952618454,0.0074812968,0.15
10,0.234924087,0.5411471322,0.0897755611,0.25
11,0.3515985705,0.2094763092,0.4862842893,0.35
12,0.4206435469,0.0573566085,1.0349127182,0.59
1,0.7005094942,0.0349127182,1.9451371571,0.61
2,0.5391608366,0.0324189526,1.9052369077,0.52
3,0.3935331749,0.0448877805,1.3591022444,0.47
4,0.3944000253,0.072319202,1.349127182,0.23
5,0.0808004248,0.1321695761,0.6109725686,0.16
6,0.1656384162,0.2543640898,0.3790523691,0.12
7,0.1584959645,0.5910224439,0.0548628429,0.1
8,0.1567273001,0.897755611,0.0049875312,0.12
9,0.1980588066,0.7182044888,0.029925187,0.16
10,0.2387327451,0.4987531172,0.1271820449,0.28
11,0.3822356377,0.144638404,0.6309226933,0.37
12,0.4221349127,0.042394015,1.2443890274,0.52
